,w53h6u4k,gux8ixql,rmfyq9p4,ekqjr6df,8r01d3y7,ixrz34rv
380,1172,1440,1498,1586.0,1326,620.0
381,1326,1424,1664,1782.0,1408,598.0
382,1202,1374,1476,1460.0,1352,626.0
383,1204,1318,1304,1426.0,1288,626.0
384,1134,1470,1154,1644.0,1134,660.0
385,1088,1468,1536,1614.0,1364,684.0
386,1232,1474,1504,1814.0,1308,698.0
387,1314,1472,1102,1656.0,1368,780.0
388,1406,1350,1278,1390.0,1314,788.0
389,1356,1456,1506,1498.0,1392,684.0
390,1182,1416,1234,1482.0,1416,702.0
391,1222,1412,1384,1698.0,1212,690.0
392,1528,1290,1310,1174.0,1170,714.0
393,1424,1318,1358,1452.0,1126,688.0
394,1376,1366,1218,1450.0,1352,688.0
395,1284,1388,1488,1614.0,1264,694.0
396,1342,1302,1474,1546.0,1182,662.0
397,1240,1358,1600,1544.0,1206,712.0
398,1232,1284,1520,1346.0,1280,722.0
399,1134,1302,1324,1414.0,1364,758.0
400,1308,1474,1390,1208.0,1324,726.0
401,1384,1454,1532,1390.0,1358,722.0
402,1274,1512,1134,1414.0,1374,742.0
403,1360,1424,1200,1392.0,1006,754.0
404,1208,1364,1534,1406.0,1142,732.0
405,1184,1488,1206,1440.0,1136,670.0
406,1538,1468,1366,1402.0,1120,684.0
407,1314,1376,1072,1610.0,1082,684.0
408,1234,1414,1352,1666.0,1274,714.0
409,1304,1416,1628,1608.0,1088,732.0
410,1336,1382,1372,1492.0,1078,798.0
411,1534,1390,1418,1502.0,1134,784.0
412,1342,1386,1494,1562.0,1098,778.0
413,1428,1538,1566,1586.0,1112,772.0
414,1508,1428,1590,1600.0,1238,784.0
415,1336,1406,1608,1328.0,1258,796.0
416,1334,1482,1616,1468.0,1238,770.0
417,1136,1518,1426,1400.0,1150,770.0
418,1214,1428,1674,1596.0,1102,766.0
419,1228,1528,1458,1652.0,1208,756.0
420,1244,1378,1430,1400.0,1142,742.0
421,1284,1520,1624,1242.0,1150,680.0
422,1480,1504,1790,1282.0,1160,668.0
423,1350,1496,1524,1528.0,1140,666.0
424,1278,1460,1372,1460.0,1182,640.0
425,1444,1450,1222,1822.0,1186,696.0
426,1434,1402,1266,1590.0,1172,700.0
427,1342,1488,1268,1420.0,1234,654.0
428,1488,1426,1688,1602.0,1188,656.0
429,1424,1490,1444,1534.0,1236,708.0
430,1500,1494,1600,1636.0,944,758.0
431,1422,1310,1370,1728.0,1040,720.0
432,1484,1468,1494,1624.0,1120,674.0
433,1564,1360,1204,1378.0,1054,730.0
434,1324,1478,1442,1638.0,1286,734.0
435,1254,1430,1490,1492.0,1200,710.0
436,1294,1412,1654,1188.0,1274,708.0
437,1392,1520,1256,1194.0,1172,716.0
438,1288,1552,1284,864.0,1188,646.0
439,1396,1458,1318,1006.0,1308,704.0
440,1368,1498,1322,1192.0,1326,688.0
441,1378,1406,1042,1314.0,1492,690.0
442,1470,1458,1224,1318.0,1334,596.0
443,1264,1396,1274,1510.0,1338,562.0
444,1446,1340,1536,1382.0,1304,540.0
445,1456,1398,1304,1416.0,1408,524.0
446,1512,1426,1456,1330.0,1644,530.0
447,1554,1464,1124,1430.0,1710,540.0
448,1768,1444,930,1510.0,1392,572.0
449,1466,1372,1174,1534.0,1406,620.0
450,1754,1464,1372,1322.0,1438,636.0
451,1540,1472,1660,1334.0,1212,642.0
452,1550,1516,1450,1510.0,1178,628.0
453,1494,1422,1324,1312.0,1084,672.0
454,1420,1392,1266,1160.0,1108,682.0
455,1402,1440,1278,1468.0,1274,638.0
456,1402,1440,1304,1226.0,1344,636.0
457,1210,1412,1290,1254.0,1468,644.0
458,1188,1396,1174,1312.0,1410,542.0
459,1450,1490,1380,1442.0,1396,568.0
460,1282,1434,1332,1404.0,1264,572.0
461,1166,1478,1228,1552.0,1322,568.0
462,1630,1456,1044,1484.0,1196,556.0
463,1410,1368,1134,1532.0,1168,518.0
464,1500,1350,1044,1440.0,1268,502.0
465,1592,1350,1340,1406.0,1424,536.0
466,1092,1334,1264,1248.0,1376,594.0
467,1518,1348,1366,1364.0,1444,608.0
468,1392,1530,1426,1480.0,1416,546.0
